ITEM,CORTE,INDICADOR,DELITO,ARTICULO,AÑO,CANTIDAD
189,CSJ LIMA - ANTICORRUPCION,INGRESOS,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.1.,2021,235
190,CSJ LIMA - ANTICORRUPCION,INGRESOS,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.3.,2021,11
191,CSJ LIMA - ANTICORRUPCION,INGRESOS,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.2.,2022,148
192,CSJ LIMA - ANTICORRUPCION,INGRESOS,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.1.,2022,1124
193,CSJ LIMA - ANTICORRUPCION,INGRESOS,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.3.,2022,93
194,CSJ LIMA - Penal,INGRESOS,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.2.,2020,481
195,CSJ LIMA - Penal,INGRESOS,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.1.,2020,5194
196,CSJ LIMA - Penal,INGRESOS,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.3.,2020,951
197,CSJ LIMA - Penal,INGRESOS,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.2.,2021,559
198,CSJ LIMA - Penal,INGRESOS,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.3.,2021,1055
199,CSJ LIMA - Penal,INGRESOS,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.1.,2021,6099
200,CSJ LIMA - Penal,INGRESOS,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.2.,2022,352
201,CSJ LIMA - Penal,INGRESOS,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.1.,2022,4081
202,CSJ LIMA - Penal,INGRESOS,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.3.,2022,780
203,CSJ Lima Este,INGRESOS,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.2.,2020,210
204,CSJ Lima Este,INGRESOS,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.1.,2020,2497
205,CSJ Lima Este,INGRESOS,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.3.,2020,296
206,CSJ Lima Este,INGRESOS,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.2.,2021,389
207,CSJ Lima Este,INGRESOS,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.1.,2021,3076
208,CSJ Lima Este,INGRESOS,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.3.,2021,292
209,CSJ Lima Este,INGRESOS,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.2.,2022,453
210,CSJ Lima Este,INGRESOS,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.1.,2022,2860
ITEM,CORTE,INDICADOR,DELITO,ARTICULO,AÑO,CANTIDAD
211,CSJ Lima Este,INGRESOS,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.3.,2022,307
212,CSJ LIMA NORTE,INGRESOS,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.3.,2020,129
213,CSJ LIMA NORTE,INGRESOS,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.2.,2020,262
214,CSJ LIMA NORTE,INGRESOS,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.1.,2020,2759
215,CSJ LIMA NORTE,INGRESOS,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.3.,2021,172
216,CSJ LIMA NORTE,INGRESOS,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.1.,2021,3646
217,CSJ LIMA NORTE,INGRESOS,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.2.,2021,626
218,CSJ LIMA NORTE,INGRESOS,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.3.,2022,162
219,CSJ LIMA NORTE,INGRESOS,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.2.,2022,334
220,CSJ LIMA NORTE,INGRESOS,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.1.,2022,2745
221,"CSJ LIMA SUR - Villa MariaTriunfo",INGRESOS,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.1.,2020,1027
222,"CSJ LIMA SUR - Villa MariaTriunfo",INGRESOS,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.2.,2020,103
223,"CSJ LIMA SUR - Villa MariaTriunfo",INGRESOS,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.3.,2020,267
224,"CSJ LIMA SUR - Villa MariaTriunfo",INGRESOS,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.2.,2021,31
225,"CSJ LIMA SUR - Villa MariaTriunfo",INGRESOS,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.3.,2021,112
226,"CSJ LIMA SUR - Villa MariaTriunfo",INGRESOS,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.1.,2021,745
227,"CSJ LIMA SUR - Villa MariaTriunfo",INGRESOS,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.2.,2022,91
228,"CSJ LIMA SUR - Villa MariaTriunfo",INGRESOS,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.1.,2022,1287
229,"CSJ LIMA SUR - Villa MariaTriunfo",INGRESOS,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.3.,2022,237
230,CSJ LORETO,INGRESOS,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.3.,2020,24
231,CSJ LORETO,INGRESOS,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.2.,2020,24
232,CSJ LORETO,INGRESOS,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.1.,2020,765
233,CSJ LORETO,INGRESOS,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.2.,2021,36
234,CSJ LORETO,INGRESOS,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.1.,2021,804
235,CSJ LORETO,INGRESOS,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.2.,2022,13
236,CSJ LORETO,INGRESOS,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.1.,2022,812
237,CSJ LORETO - CABALLO COCHA,INGRESOS,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.1.,2020,36
238,CSJ LORETO - CABALLO COCHA,INGRESOS,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.1.,2021,12
239,CSJ LORETO - CABALLO COCHA,INGRESOS,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.1.,2022,18
240,CSJ LORETO - DATEM,INGRESOS,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.1.,2020,179
ITEM,CORTE,INDICADOR,DELITO,ARTICULO,AÑO,CANTIDAD
241,CSJ LORETO - DATEM,INGRESOS,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.1.,2021,97
242,CSJ LORETO - DATEM,INGRESOS,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.1.,2022,50
243,CSJ LORETO - NAUTA,INGRESOS,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.1.,2020,24
244,CSJ LORETO - NAUTA,INGRESOS,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.3.,2020,12
245,CSJ LORETO - NAUTA,INGRESOS,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.1.,2022,11
246,CSJ LORETO - REQUENA,INGRESOS,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.1.,2020,33
247,CSJ MADRE DE DIOS,INGRESOS,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.2.,2020,75
248,CSJ MADRE DE DIOS,INGRESOS,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.3.,2020,36
249,CSJ MADRE DE DIOS,INGRESOS,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.1.,2020,441
250,CSJ MADRE DE DIOS,INGRESOS,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.2.,2021,134
251,CSJ MADRE DE DIOS,INGRESOS,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.3.,2021,38
252,CSJ MADRE DE DIOS,INGRESOS,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.1.,2021,313
253,CSJ MADRE DE DIOS,INGRESOS,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.2.,2022,69
254,CSJ MADRE DE DIOS,INGRESOS,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.1.,2022,402
255,CSJ MADRE DE DIOS,INGRESOS,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.3.,2022,61
256,CSJ MOQUEGUA,INGRESOS,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.1.,2020,168
257,CSJ MOQUEGUA,INGRESOS,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.3.,2020,11
258,CSJ MOQUEGUA,INGRESOS,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.3.,2021,12
259,CSJ MOQUEGUA,INGRESOS,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.1.,2021,159
260,CSJ MOQUEGUA,INGRESOS,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.1.,2022,55
261,CSJ MOQUEGUA,INGRESOS,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.3.,2022,45
262,CSJ MOQUEGUA - ILO,INGRESOS,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.1.,2020,122
263,CSJ MOQUEGUA - ILO,INGRESOS,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.2.,2021,4
264,CSJ MOQUEGUA - ILO,INGRESOS,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.1.,2021,92
265,CSJ MOQUEGUA - ILO,INGRESOS,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.2.,2022,10
266,CSJ MOQUEGUA - ILO,INGRESOS,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.1.,2022,62
267,CSJ PASCO,INGRESOS,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.3.,2020,50
268,CSJ PASCO,INGRESOS,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.1.,2020,411
269,CSJ PASCO,INGRESOS,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.2.,2021,29
270,CSJ PASCO,INGRESOS,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.1.,2021,245
ITEM,CORTE,INDICADOR,DELITO,ARTICULO,AÑO,CANTIDAD
271,CSJ PASCO,INGRESOS,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.3.,2021,307
272,CSJ PASCO,INGRESOS,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.1.,2022,421
273,CSJ PASCO,INGRESOS,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.3.,2022,176
274,CSJ PIURA,INGRESOS,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.1.,2020,7955
275,CSJ PIURA,INGRESOS,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.2.,2020,678
276,CSJ PIURA,INGRESOS,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.3.,2020,663
277,CSJ PIURA,INGRESOS,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.3.,2021,488
278,CSJ PIURA,INGRESOS,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.2.,2021,877
279,CSJ PIURA,INGRESOS,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.1.,2021,7079
280,CSJ PIURA,INGRESOS,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.3.,2022,347
281,CSJ PIURA,INGRESOS,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.1.,2022,5818
282,CSJ PIURA,INGRESOS,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.2.,2022,701
283,CSJ PIURA-SECHURA,INGRESOS,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.1.,2020,542
284,CSJ PIURA-SECHURA,INGRESOS,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.2.,2020,24
285,CSJ PIURA-SECHURA,INGRESOS,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.3.,2020,24
286,CSJ PIURA-SECHURA,INGRESOS,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.1.,2021,548
287,CSJ PIURA-SECHURA,INGRESOS,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.3.,2021,24
288,CSJ PIURA-SECHURA,INGRESOS,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.2.,2021,24
289,CSJ PIURA-TAMBOGRANDE,INGRESOS,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.3.,2020,53
290,CSJ PIURA-TAMBOGRANDE,INGRESOS,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.1.,2020,276
291,CSJ PIURA-TAMBOGRANDE,INGRESOS,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.2.,2021,12
292,CSJ PIURA-TAMBOGRANDE,INGRESOS,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.3.,2021,36
293,CSJ PIURA-TAMBOGRANDE,INGRESOS,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.1.,2021,290
294,CSJ PUNO,INGRESOS,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.2.,2020,60
295,CSJ PUNO,INGRESOS,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.1.,2020,490
296,CSJ PUNO,INGRESOS,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.2.,2021,57
297,CSJ PUNO,INGRESOS,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.1.,2021,450
298,CSJ PUNO,INGRESOS,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.1.,2022,324
299,CSJ PUNO,INGRESOS,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.2.,2022,10
300,CSJ SAN MARTIN,INGRESOS,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.3.,2020,6
ITEM,CORTE,INDICADOR,DELITO,ARTICULO,AÑO,CANTIDAD
301,CSJ SAN MARTIN,INGRESOS,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.1.,2020,297
302,CSJ SAN MARTIN,INGRESOS,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.2.,2021,168
303,CSJ SAN MARTIN,INGRESOS,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.3.,2021,343
304,CSJ SAN MARTIN,INGRESOS,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.1.,2021,1807
305,CSJ SAN MARTIN,INGRESOS,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.2.,2022,119
306,CSJ SAN MARTIN,INGRESOS,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.1.,2022,1653
307,CSJ SAN MARTIN,INGRESOS,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.3.,2022,218
308,CSJ SAN MARTIN - RIOJA,INGRESOS,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.3.,2020,68
309,CSJ SAN MARTIN - RIOJA,INGRESOS,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.1.,2020,207
310,CSJ SAN MARTIN - RIOJA,INGRESOS,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.2.,2020,47
311,CSJ SAN MARTIN - TARAPOTO,INGRESOS,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.3.,2020,73
312,CSJ SAN MARTIN - TARAPOTO,INGRESOS,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.1.,2020,607
313,CSJ SAN MARTIN - TARAPOTO,INGRESOS,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.2.,2020,24
314,CSJ SELVA CENTRAL,INGRESOS,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.1.,2020,265
315,CSJ SELVA CENTRAL,INGRESOS,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.1.,2021,320
316,CSJ SELVA CENTRAL,INGRESOS,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.2.,2022,23
317,CSJ SELVA CENTRAL,INGRESOS,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.1.,2022,461
318,CSJ SELVA CENTRAL,INGRESOS,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.3.,2022,24
319,"CSJ SELVA CENTRAL-OXAPAMPA",INGRESOS,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.2.,2020,24
320,"CSJ SELVA CENTRAL-OXAPAMPA",INGRESOS,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.1.,2020,74
321,"CSJ SELVA CENTRAL-OXAPAMPA",INGRESOS,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.2.,2021,24
322,"CSJ SELVA CENTRAL-OXAPAMPA",INGRESOS,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.1.,2021,62
323,"CSJ SELVA CENTRAL-PICHANAKI",INGRESOS,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.1.,2020,44
324,"CSJ SELVA CENTRAL-PICHANAKI",INGRESOS,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.2.,2021,11
325,"CSJ SELVA CENTRAL-PICHANAKI",INGRESOS,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.1.,2021,86
326,CSJ SELVA CENTRAL- SATIPO,INGRESOS,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.1.,2020,36
327,CSJ SULLANA,INGRESOS,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.2.,2020,260
328,CSJ SULLANA,INGRESOS,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.1.,2020,1467
329,CSJ SULLANA,INGRESOS,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.3.,2020,287
330,CSJ SULLANA,INGRESOS,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.2.,2021,479
ITEM,CORTE,INDICADOR,DELITO,ARTICULO,AÑO,CANTIDAD
331,CSJ SULLANA,INGRESOS,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.1.,2021,3339
332,CSJ SULLANA,INGRESOS,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.3.,2021,358
333,CSJ SULLANA,INGRESOS,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.2.,2022,273
334,CSJ SULLANA,INGRESOS,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.1.,2022,2198
335,CSJ SULLANA,INGRESOS,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.3.,2022,158
336,CSJ SULLANA - AYABACA,INGRESOS,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.1.,2020,234
337,CSJ SULLANA - AYABACA,INGRESOS,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.2.,2020,104
338,CSJ SULLANA - ORGANOS,INGRESOS,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.1.,2020,2
339,CSJ TACNA,INGRESOS,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.2.,2020,23
340,CSJ TACNA,INGRESOS,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.1.,2020,527
341,CSJ TACNA,INGRESOS,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.3.,2020,12
342,CSJ TACNA,INGRESOS,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.2.,2021,12
343,CSJ TACNA,INGRESOS,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.1.,2021,311
344,CSJ TACNA,INGRESOS,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.3.,2021,12
345,CSJ TACNA,INGRESOS,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.2.,2022,22
346,CSJ TACNA,INGRESOS,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.1.,2022,487
347,CSJ TACNA,INGRESOS,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.3.,2022,20
348,CSJ TUMBES,INGRESOS,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.1.,2020,1630
349,CSJ TUMBES,INGRESOS,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.3.,2020,104
350,CSJ TUMBES,INGRESOS,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.2.,2020,30
351,CSJ TUMBES,INGRESOS,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.1.,2021,1105
352,CSJ TUMBES,INGRESOS,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.3.,2021,60
353,CSJ TUMBES,INGRESOS,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.2.,2021,46
354,CSJ TUMBES,INGRESOS,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.2.,2022,89
355,CSJ TUMBES,INGRESOS,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.1.,2022,1151
356,CSJ TUMBES,INGRESOS,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.3.,2022,38
357,CSJ UCAYALI,INGRESOS,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.1.,2020,2373
358,CSJ UCAYALI,INGRESOS,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.3.,2020,96
359,CSJ UCAYALI,INGRESOS,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.2.,2020,82
360,CSJ UCAYALI,INGRESOS,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.2.,2021,91
ITEM,CORTE,INDICADOR,DELITO,ARTICULO,AÑO,CANTIDAD
361,CSJ UCAYALI,INGRESOS,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.3.,2021,126
362,CSJ UCAYALI,INGRESOS,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.1.,2021,2185
363,CSJ UCAYALI,INGRESOS,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.2.,2022,145
364,CSJ UCAYALI,INGRESOS,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.3.,2022,119
365,CSJ UCAYALI,INGRESOS,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.1.,2022,1648
366,CSJ VENTANILLA,INGRESOS,DELITOS CONTRA EL PATRIMONIO,Extorsión - Art. 200.9.1,2020,88
367,CSJ VENTANILLA,INGRESOS,DELITOS CONTRA EL PATRIMONIO,Extorsión - Art. 200.2,2020,69
368,CSJ VENTANILLA,INGRESOS,DELITOS CONTRA EL PATRIMONIO,Extorsión - Art. 200.1,2020,505
369,CSJ VENTANILLA,INGRESOS,DELITOS CONTRA EL PATRIMONIO,Extorsión - Art. 200.3,2020,9
370,CSJ VENTANILLA,INGRESOS,DELITOS CONTRA EL PATRIMONIO,Extorsión - Art. 200.1,2021,866
371,CSJ VENTANILLA,INGRESOS,DELITOS CONTRA EL PATRIMONIO,Extorsión - Art. 200.2,2021,84
372,CSJ VENTANILLA,INGRESOS,DELITOS CONTRA EL PATRIMONIO,Extorsión - Art. 200.3,2021,11
373,CSJ VENTANILLA,INGRESOS,DELITOS CONTRA EL PATRIMONIO,Extorsión - Art. 200.9.1,2021,148
374,CSJ VENTANILLA,INGRESOS,DELITOS CONTRA EL PATRIMONIO,Extorsión - Art. 200.1,2022,962
375,CSJ VENTANILLA,INGRESOS,DELITOS CONTRA EL PATRIMONIO,Extorsión - Art. 200.2.1,2022,3
376,CSJ VENTANILLA,INGRESOS,DELITOS CONTRA EL PATRIMONIO,Extorsión - Art. 200.3,2022,10
377,CSJ VENTANILLA,INGRESOS,DELITOS CONTRA EL PATRIMONIO,Extorsión - Art. 200.9.1,2022,191
378,CSJ VENTANILLA,INGRESOS,DELITOS CONTRA EL PATRIMONIO,Extorsión - Art. 200.2,2022,74
